,Exchange,Crypto,Fiat
549,BTER,QTUM,BTC
550,BTER,REP,BTC
551,BTER,REP,CNY
552,BTER,LTC,BTC
553,BTER,LTC,CNY
554,BTER,EOS,BTC
555,BTER,EOS,ETH
556,BTER,EOS,CNY
557,BTER,OMG,ETH
558,BTER,OMG,CNY
559,BTER,OMG,BTC
560,BTER,DASH,CNY
561,BTER,DASH,BTC
562,BTER,DNT,BTC
563,BTER,DNT,ETH
564,BTER,DNT,CNY
565,BTER,SNT,CNY
566,BTER,SNT,ETH
567,BTER,SNT,BTC
568,BTER,BCH,BTC
569,BTER,BCH,CNY
570,BTER,ETH,BTC
571,BTER,ETH,CNY
572,BTER,ZEC,CNY
573,BTER,ZEC,BTC
574,BTER,ETC,ETH
575,BTER,ETC,BTC
576,BTER,ETC,CNY
577,BTER,STORJ,BTC
578,BTER,STORJ,CNY
579,BTER,STORJ,ETH
580,BTER,DPY,ETH
581,BTER,XRP,CNY
582,BTER,XRP,BTC
583,BTER,ZRX,CNY
584,BTER,ZRX,ETH
585,BTER,ZRX,BTC
586,BTER,CVC,BTC
587,BTER,CVC,CNY
588,BTER,CVC,ETH
589,BTER,BTC,BITUSD
590,BTER,BTC,CNY
591,BTER,DOC,CNY
592,BTER,DOC,BTC
593,BTER,XMR,CNY
594,BTER,XMR,BTC
595,BTER,XEM,BTC
596,BTER,XEM,CNY
597,BTER,DOGE,USD
598,BTER,DOGE,CNY
599,BTER,DOGE,BTC
600,BTER,BLOCK,BTC
601,BTER,PST,BTC
602,BTER,PST,ETH
603,BTER,PST,CNY
604,BTER,NAS,BTC
605,BTER,ZCC,CNY
606,BTER,ZCC,BTC
607,BTER,XCN,BTC
608,BTER,MEC,CNY
609,BTER,MEC,BTC
610,BTER,BTS,NXT
611,BTER,BTS,BTC
612,BTER,BTS,CNY
613,BTER,WDC,BTC
614,BTER,WDC,CNY
615,BTER,QRK,CNY
616,BTER,QRK,BTC
617,BTER,NXT,BTC
618,BTER,NXT,CNY
619,BTER,XPM,BTC
620,BTER,XPM,CNY
621,BTER,BLK,BTC
622,BTER,BLK,CNY
623,BTER,PPC,CNY
624,BTER,PPC,BTC
625,BTER,DGC,BTC
626,BTER,DGC,CNY
627,BTER,SRC,CNY
628,BTER,SRC,BTC
629,BTER,BBR,BTC
630,BTER,NMC,BTC
631,BTER,NMC,CNY
632,BTER,PAY,BTC
633,BTER,PAY,ETH
634,BTER,PAY,CNY
635,BTER,XCP,CNY
636,BTER,XCP,NXT
637,BTER,XCP,BTC
638,BTER,XCR,BTC
639,BTER,AC,BTC
640,BTER,OAX,ETH
641,BTER,OAX,BTC
642,BTER,MAX,BTC
643,BTER,MAX,CNY
644,BTER,RED,LTC
645,BTER,RED,CNY
646,BTER,ETP,BTC
647,BTER,ETP,CNY
648,BTER,LTS,BTC
649,BTER,FTC,CNY
650,BTER,FTC,BTC
651,BTER,DVC,LTC
652,BTER,DVC,CNY
653,BTER,C2,BTC
654,BTER,XTC,BTC
655,BTER,XTC,CNY
656,BTER,QORA,BTC
657,BTER,BQC,BTC
658,BTER,BQC,CNY
659,BTER,BTCD,BTC
660,BTER,BTCD,NXT
661,BTER,NBT,BTC
662,BTER,NBT,CNY
663,BTER,LRC,CNY
664,BTER,LRC,ETH
665,BTER,NET,LTC
666,BTER,NET,CNY
667,BTER,NET,BTC
668,BTER,VTC,BTC
669,BTER,VTC,CNY
670,BTER,VIA,BTC
671,BTER,KDC,BTC
672,BTER,FRC,BTC
673,BTER,FRC,CNY
674,BTER,SFR,BTC
675,BTER,UNITY,CNY
676,BTER,UNITY,NXT
677,BTER,UNITY,BTC
678,BTER,CNC,BTC
679,BTER,CNC,CNY
680,BTER,BAY,BTC
681,BTER,TBC,BTC
682,BTER,TBC,CNY
683,BTER,GEMZ,BTC
684,BTER,MG,BTC
685,BTER,BTB,CNY
686,BTER,BTB,BTC
687,BTER,CMC,BTC
688,BTER,CMC,CNY
689,BTER,NODE,BTC
690,BTER,NSR,BTC
691,BTER,BITCNY,CNY
692,BTER,NXTTY,CNY
693,BTER,NXTTY,BTC
694,BTER,TIPS,LTC
695,BTER,TIPS,CNY
