Source,Source_small,Country,Flag,Region,Remark,Excluded,Reason for Exclusion,rank
CHBTC,chbtc,China (formerly),🇨🇳,East Asia,,False,,201.0
Coincap,coincap,Malaysia,🇲🇾,East Asia,,False,,202.0
CoinsBank,coinsbank,UK,🇬🇧,Western Europe,,False,,203.0
Coinse,coinse,Unknown,🏴‍,Unknown,Bust,False,,204.0
Coinsetter,coinsetter,USA,🇺🇸,North America,Aquired by Kraken,False,,205.0
cryptofacilities,cryptofacilities,UK,🇬🇧,Western Europe,acquired by Kraken,False,,206.0
CryptoX,cryptox,UK,🇬🇧,Western Europe,,False,,207.0
Cryptsy,cryptsy,USA,🇺🇸,North America,Bust,False,,208.0
darbfinance,darbfinance,Estonia,????,Eastern Europe,,False,,209.0
decoin,decoin,Estonia,????,Eastern Europe,,False,,210.0
erisx,erisx,USA,🇺🇸,North America,,False,,211.0
EthexIndia,ethexindia,India,🇮🇳,South Asia,,False,,212.0
Foxbit,foxbit,Brazil,🇧🇷,South America,,False,,213.0
Gnosis,gnosis,DEX,🏳,None,,False,,214.0
Huobi,huobi,China (formerly),🇨🇳,East Asia,,False,,215.0
Jubi,jubi,Japan,🇯🇵,East Asia,,False,,216.0
MonetaGo,monetago,USA,🇺🇸,North America,,False,,217.0
MtGox,mtgox,Japan,🇯🇵,East Asia,,False,,218.0
Novaexchange,novaexchange,Tanzania,🇹🇿,Africa,,False,,219.0
onederx,onederx,Estonia,????,Eastern Europe,,False,,220.0
Qryptos,qryptos,Japan,🇯🇵,East Asia,,False,,221.0
Quoine,quoine,Japan,🇯🇵,East Asia,,False,,222.0
raidofinance,raidofinance,Estonia,????,Eastern Europe,,False,,223.0
StocksExchangeio,stocksexchangeio,UK,🇬🇧,Western Europe,,False,,224.0
Surbitcoin,surbitcoin,Venezuela,🇻🇪,South America,,False,,225.0
TDAX,tdax,Thailand,🇹🇭,Southeast Asia,,False,,226.0
thore,thore,Switzerland,🇨🇭,Western Europe,,False,,227.0
Unocoin,unocoin,India,🇮🇳,South Asia,,False,,228.0
Velox,velox,DEX,🏳,None,,False,,229.0
ViaBTC,viabtc,China (formerly),🇨🇳,East Asia,,False,,230.0
WEX,wex,Singapore,🇸🇬,East Asia,,False,,231.0
WorldCryptoCap,worldcryptocap,China (formerly),🇨🇳,East Asia,,False,,232.0
Yacuna,yacuna,UK,🇬🇧,Western Europe,,False,,233.0
Yunbi,yunbi,China (formerly),🇨🇳,East Asia,,False,,234.0
Zecoex,zecoex,India,🇮🇳,South Asia,,False,,235.0
zloadr,zloadr,UK,🇬🇧,Western Europe,,False,,236.0
CCCAGG,,,,,,,,
